Date,^GSPC,DJI,Nikkei,IBEX,VIX
2014-09-12,1985.5400390625,16987.509765625,15948.2900390625,10888.8896484375,13.3100004196167
2014-09-16,1998.97998046875,17131.970703125,15911.5302734375,10798.689453125,12.729999542236328
2014-09-17,2001.5699462890625,17156.849609375,15888.669921875,10907.3896484375,12.649999618530273
2014-09-18,2011.3599853515625,17265.990234375,16067.5703125,10990.9892578125,12.029999732971191
2014-09-19,2010.4000244140625,17279.740234375,16321.169921875,11001.8896484375,12.109999656677246
2014-09-22,1994.2900390625,17172.6796875,16205.900390625,10947.8896484375,13.6899995803833
2014-09-24,1998.300048828125,17210.060546875,16167.4501953125,10856.8896484375,13.270000457763672
2014-09-25,1965.989990234375,16945.80078125,16374.1396484375,10783.0888671875,15.640000343322754
2014-09-26,1982.8499755859375,17113.150390625,16229.8603515625,10851.3896484375,14.850000381469727
2014-09-29,1977.800048828125,17071.220703125,16310.6396484375,10685.9892578125,15.979999542236328
2014-09-30,1972.2900390625,17042.900390625,16173.51953125,10825.4892578125,16.309999465942383
2014-10-01,1946.1600341796875,16804.7109375,16082.25,10753.189453125,16.709999084472656
2014-10-02,1946.1700439453125,16801.05078125,15661.990234375,10418.0888671875,16.15999984741211
2014-10-03,1967.9000244140625,17009.689453125,15708.650390625,10567.5888671875,14.550000190734863
2014-10-06,1964.8199462890625,16991.91015625,15890.9501953125,10645.689453125,15.460000038146973
2014-10-07,1935.0999755859375,16719.390625,15783.830078125,10430.689453125,17.200000762939453
2014-10-08,1968.8900146484375,16994.220703125,15595.98046875,10338.9892578125,15.109999656677246
2014-10-09,1928.2099609375,16659.25,15478.9296875,10273.689453125,18.760000228881836
2014-10-10,1906.1300048828125,16544.099609375,15300.5498046875,10150.4892578125,21.239999771118164
2014-10-14,1877.699951171875,16315.1904296875,14936.509765625,10204.8896484375,22.790000915527344
2014-10-15,1862.489990234375,16141.740234375,15073.51953125,9838.490234375,25.270000457763672
2014-10-16,1862.760009765625,16117.240234375,14738.3798828125,9669.6904296875,25.200000762939453
2014-10-17,1886.760009765625,16380.41015625,14532.509765625,9956.7900390625,21.989999771118164
2014-10-20,1904.010009765625,16399.669921875,15111.23046875,9915.1904296875,18.56999969482422
2014-10-21,1941.280029296875,16614.810546875,14804.2802734375,10152.0888671875,16.079999923706055
2014-10-22,1927.1099853515625,16461.3203125,15195.76953125,10249.8896484375,17.8700008392334
2014-10-23,1950.8199462890625,16677.900390625,15138.9599609375,10333.689453125,16.530000686645508
